Division,Hex,"RGB (R, G, B)","CMYK (C, M, Y, K)","HSV (H, S, V)",Pantone
TransPerfect,#13B1F3,"19, 177, 243","92, 27, 0, 5","198°, 92%, 95%",306 C
Games,#A6FA87,"166, 250, 135","34, 0, 46, 2","104°, 46%, 98%",7487 C
GlobalLink,#13B1F3,"19, 177, 243","92, 27, 0, 5","198°, 92%, 95%",306 C
Finance,#FF9B70,"255, 155, 112","0, 39, 56, 0","18°, 56%, 100%",1635 C
Legal,#3BBEB6,"59, 190, 182","69, 0, 4, 25","176°, 69%, 75%",7465 C
Life Sci,#58ED21,"88, 237, 33","63, 0, 86, 7","104°, 86%, 93%",802 C
Experience,#FF5757,"255, 87, 87","0, 66, 66, 0","0°, 66%, 100%",1785 C
Learn,#FFEB66,"255, 235, 102","0, 8, 60, 0","52°, 60%, 100%",100 C
Media,#EC388A,"236, 56, 138","0, 76, 42, 7","333°, 76%, 93%",205 C
Digital,#C2A3FF,"194, 163, 255","24, 36, 0, 0","260°, 36%, 100%",2645 C
Dataforce,#5CE1E6,"92, 225, 230","60, 2, 0, 10","182°, 60%, 90%",3105 C
